"id"	"title"	"hash"	"explanation"	"type"	"question_imgs"	"explanation_imgs"	"question_origin"	"options"	"created_at"	"updated_at"

"15960"	"ABC 库存分析法是基于哪个法则将产品分类成三个类别？"	"0ba873d9f1bc59efe6d626dd96bf13c6"	"ABC 库存分析是基于帕累托法则，即二八法则，将产品分为三个类别以确定业务侧重的优先级。"	"single"	"[]"	"[]"	"1"	"[{""id"":54185,""question_id"":15960,""title"":""帕累托法则"",""is_right"":true,""is_checked"":true},{""id"":54186,""question_id"":15960,""title"":""墨菲法则"",""is_right"":false,""is_checked"":false},{""id"":54187,""question_id"":15960,""title"":""牛顿第三定律"",""is_right"":false,""is_checked"":false},{""id"":54188,""question_id"":15960,""title"":""莫尔斯法则"",""is_right"":false,""is_checked"":false}]"	"14/2/2025 10:35:11"	"14/2/2025 10:35:11"

"15961"	"哪个 Shopify 套餐原生支持ABC分析报告？"	"2faaebcb333e15fbdf085ae14778f429"	"Basic Shopify 套餐原生支持 ABC 分析报告。"	"single"	"[]"	"[]"	"1"	"[{""id"":54189,""question_id"":15961,""title"":""Advanced Shopify""},{""id"":54190,""question_id"":15961,""title"":""Shopify Plus""},{""id"":54191,""question_id"":15961,""title"":""Shopify Lite""},{""id"":54192,""question_id"":15961,""title"":""Basic Shopify""}]"	"14/2/2025 10:35:11"	"14/2/2025 10:35:11"

"15962"	"ABC库存分析揭示的现象是什么？"	"a33417680cf3c58929fca99a8bceb38f"	"ABC库存分析揭示了少数产品为企业带来了大部分利润的现象。"	"single"	"[]"	"[]"	"1"	"[{""id"":54193,""question_id"":15962,""title"":""一个产品的销量不变""},{""id"":54194,""question_id"":15962,""title"":""所有产品同等重要""},{""id"":54195,""question_id"":15962,""title"":""少数产品带来大部分利润""},{""id"":54196,""question_id"":15962,""title"":""所有产品都不产生利润""}]"	"14/2/2025 10:35:11"	"14/2/2025 10:35:11"

"15963"	"ABC 库存分析报告在哪里可以获得？"	"d98d730091cf176270d999dbc0e2395b"	"如果商店使用的是Basic Shopify 或 Shopify Lite 套餐，则可以从 Shopify App Store 下载可提供 ABC 分析的报告应用。"	"single"	"[]"	"[]"	"1"	"[{""id"":54197,""question_id"":15963,""title"":""Shopify App Store""},{""id"":54198,""question_id"":15963,""title"":""Shopify官方网站""},{""id"":54199,""question_id"":15963,""title"":""Shopify商店后台""},{""id"":54200,""question_id"":15963,""title"":""第三方网站""}]"	"14/2/2025 10:35:11"	"14/2/2025 10:35:11"

"15964"	"ABC库存分析通常用于哪个领域？"	"c89b9c0c2ac9a0257bf071b45e4e2eff"	"ABC库存分析是一种库存管理工具，用于分类库存项目，以优化库存控制和管理过程。"	"single"	"[]"	"[]"	"1"	"[{""id"":54201,""question_id"":15964,""title"":""库存管理""},{""id"":54202,""question_id"":15964,""title"":""市场营销""},{""id"":54203,""question_id"":15964,""title"":""人力资源管理""},{""id"":54204,""question_id"":15964,""title"":""财务会计""}]"	"14/2/2025 10:35:11"	"14/2/2025 10:35:11"
